Date,Site,Flight origin,Destination,Fatalities,Injuries,Survivors
21-Jul-19,41.8781250; -87.6323000,41.876; -87.6189,"White City amusement park, Chicago, Illinois","13 (2 passengers, 1 crew, 10 on ground)",27 (on ground),2 (2 crew)
"August2,1919(1919-08-02)",45.396389; 10.888056,45.43750; 12.33583,45.44694; 9.24833,"all on board (14,[1] 15,[2] or 17;[3] sources vary)",,0
"December14,1920(1920-12-14)",51.570417; -0.2030750,51.5548; -0.2176,48.96944; 2.44139,4,,4
7-Apr-22,49.63333; 1.94694,51.3727; -0.1099,48.96944; 2.44139,2,,0
14May1923(1923-05-14),49.71; 2.1719,48.96944; 2.44139,51.3727; -0.1099,6,,0
27August1923(1923-08-27),51.27111; 0.42806,48.96944; 2.44139,51.27111; 0.42806,1,9,12
14September1923(1923-09-14),51.836384; -0.626118,51.35639; -0.11722,53.4364; -2.2502,5,,0
24-Dec-24,51.3470; -0.1057,51.3727; -0.1099,48.96944; 2.44139,8,,0
18-Aug-26,51.05833; 0.95444,48.96944; 2.44139,51.3727; -0.1099,3,12,12
2-Oct-26,51.21722; 0.19694,48.96944; 2.44139,51.3727; -0.1099,7,0,0
22-Aug-27,51.2499; 0.2283,51.35639; -0.11722,51.95694; 4.44028,1,8,10
13-Jul-28,51.332149; -0.118188,51.35639; -0.11722,51.35639; -0.11722,4,,2
17-Jun-29,50.75000; 1.11667,51.3727; -0.1099,47.46472; 8.54917,7,6,6
6September1929(1929-09-06),25.65361; 57.79917,,,3,2,2
6-Nov-29,51.248351; -0.068482,51.27111; 0.42806,52.30806; 4.76417,7,1,1
10-Feb-30,51.167; 0.517,48.96944; 2.44139,51.35639; -0.11722,2,4,4
21-Mar-31,-35.999450; 148.329583,,,8,0,0
31-Mar-31,38.23583; -96.58667,39.09972; -94.57833,34.050; -118.250,8,,0
28-Mar-33,51.0333; 2.8667,50.88028; 4.41917,51.35639; -0.11722,15,,0
10October1933(1933-10-10),41.5700694; -86.9883917,40.72; -74.17,37.80444; -122.27083,7,,0
30-Dec-33,51.0783278; 3.3348444,50.86583; 7.14278,51.3727; -0.1099,10,,0
23February1934(1934-02-23),40.71194; -111.79806,40.750; -111.883,41.14556; -104.80194,8,,0
9-May-34,50; -2,48.96944; 2.44139,51.3727; -0.1099,6,,0
27July1934(1934-07-27),47.98500; 8.82333,47.46472; 8.54917,52.55972; 13.28778,12,,0
2-Oct-34,51.02694; 1.23000,51.6523; 0.1191,48.96944; 2.44139,7,,0
